song_id,name,artist,album,popularity,youtube_url,tempo,energy,spectral_rolloff,chroma,danceability,listeners,plays,replayability,genre_afrobeats,genre_afrofusion,genre_afrohouse,genre_afropop,genre_afroswing,genre_alternative,genre_amapiano,genre_blues,genre_bongo,genre_classic,genre_country,genre_dance,genre_dancehall,genre_disco,genre_drill,genre_edm,genre_electronic,genre_folk,genre_funk,genre_genge,genre_gengetone,genre_gqom,genre_grime,genre_grunge,genre_hiphop,genre_house,genre_indie,genre_jazz,genre_kenyan,genre_kenyan drill,genre_kenyan hiphop,genre_kenyan rnb,genre_latin,genre_metal,genre_mugithi,genre_neosoul,genre_pop,genre_punk,genre_rap,genre_reggae,genre_reggaeton,genre_rnb,genre_rock,genre_singer-songwriter,genre_soft rock,genre_soul,genre_synthpop,genre_tanzanian hiphop,genre_trap,genre_uk rap
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,GNX,87,https://www.youtube.com/watch?v=fuV4yQWdn_4,103.359375,0.273071676,4846.682301,0.459093779,4.684851483,888825,8280548,9.316286108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,Timeless,87,https://www.youtube.com/watch?v=rVORdn4Xpzk,117.4538352,0.296954781,4757.818822,0.436891258,5.158362701,200257,779548,3.892737832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,87,https://www.youtube.com/watch?v=hp0UD06InEM,117.4538352,0.240723968,4819.340465,0.389584601,5.798159433,1008442,23029039,22.83625533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,After Hours,87,https://www.youtube.com/watch?v=fHI8X4OXluQ,86.1328125,0.332552224,4612.916732,0.41624707,5.015408267,1928798,31632269,16.39999056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),87,https://www.youtube.com/watch?v=UM3389FUnKo,117.4538352,0.178561792,3435.439876,0.294581324,9.243175123,986351,10569943,10.71620853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5WEF0icHWmAZBBMglBd599,WELTiTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,87,https://www.youtube.com/watch?v=hitCWMxsMi4,151.9990809,0.164557204,5647.054634,0.356012791,5.930078899,225592,1438367,6.375966346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,Don Toliver,Love Sick (Deluxe),87,https://www.youtube.com/watch?v=fCeiUX59_FM,129.1992188,0.384330422,5003.325804,0.453401715,6.306992127,473760,6259390,13.21215383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,TYLA +,87,https://www.youtube.com/watch?v=_wmD3M-BfVo,123.046875,0.288120061,5719.632364,0.347331107,6.23726071,292316,3773754,12.90984414,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,87,https://www.youtube.com/watch?v=zG5YzRxOcsI,135.9991776,0.298966706,4868.31502,0.458209753,4.105674795,1097287,12665658,11.54270305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,Starboy,87,https://www.youtube.com/watch?v=Rif-RTvmmss,123.046875,0.316058338,3927.920103,0.44903335,4.730092471,1845743,25354257,13.73661284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,87,https://www.youtube.com/watch?v=Sv5yCzPCkv8,143.5546875,0.243187651,3627.294866,0.380558521,5.972545526,1196864,19170684,16.01742888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,86,https://www.youtube.com/watch?v=eYBw6Cl4ico,151.9990809,0.159685835,5532.86274,0.381401837,8.419801831,1978231,40768612,20.60862053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,86,https://www.youtube.com/watch?v=GCdwKhTtNNw,123.046875,0.234038681,3609.029831,0.38094452,3.403094879,2345890,37037837,15.7883946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,86,https://www.youtube.com/watch?v=1wbtvNA8GaA,143.5546875,0.154158831,3138.878366,0.252458036,7.966161595,1491215,13872966,9.303129327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,86,https://www.youtube.com/watch?v=iWG6apzIWAk,117.4538352,0.201037079,4975.997488,0.302786261,7.270101186,732513,14360683,19.60468005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,Harry's House,86,https://www.youtube.com/watch?v=oOWyYIXoPh0,172.265625,0.333820075,3693.104356,0.328848481,9.80958606,1618673,34689435,21.43078621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,SOS,86,https://www.youtube.com/watch?v=SQnc1QibapQ,89.10290948,0.271698564,3596.289252,0.359772921,5.564856352,1796889,36415455,20.26583445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,86,https://www.youtube.com/watch?v=sysZ7QFD3Ys,107.6660156,0.227367386,4673.675542,0.322782904,6.541431762,662398,6495582,9.806161854,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),86,https://www.youtube.com/watch?v=VSXT4a2kRHA,129.1992188,0.267771006,5590.341536,0.386718392,5.077933752,210380,1420088,6.750109326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,86,https://www.youtube.com/watch?v=dvgZkm1xWPE,135.9991776,0.065368012,3902.038615,0.332807362,7.43494587,2858626,29839425,10.43838019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,Memories...Do Not Open,86,https://www.youtube.com/watch?v=FM7MFYoylVs,103.359375,0.21893698,5099.331159,0.408904761,6.713340772,949952,8056205,8.480644285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,86,https://www.youtube.com/watch?v=tKml80alH3Y,123.046875,0.273227423,4248.119123,0.31267938,6.44574883,306531,2089039,6.815098636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,86,https://www.youtube.com/watch?v=zp7NtW_hKJI,123.046875,0.211830512,4476.870556,0.360688597,12.08877809,1157665,9958706,8.602407432,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6s8WSX1MxNThrot8ThI6fG,4X4,Travis Scott,4X4,86,https://www.youtube.com/watch?v=SeGNxgujehE,143.5546875,0.327169597,5590.303171,0.45650205,8.080225959,234693,1635543,6.968861449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,Synchronicity (Remastered 2003),85,https://www.youtube.com/watch?v=6cucosmPj-A,117.4538352,0.077801503,4607.222101,0.378376991,2.935625816,2104129,16262148,7.728683935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,Rauw Alejandro,Cosa Nuestra,85,https://www.youtube.com/watch?v=J8U9czVT7tM,103.359375,0.225060165,4316.680218,0.37922594,5.748456649,104385,950655,9.10719931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",CHROMAKOPIA,85,https://www.youtube.com/watch?v=sVNuC7D81pk,151.9990809,0.301364481,5879.524263,0.38766548,8.113263154,884582,8516113,9.627273673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),85,https://www.youtube.com/watch?v=t7bQwwqW-Hc,161.4990234,0.234091938,5098.82103,0.408273637,11.0015851,469354,3994190,8.509973282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1lOe9qE0vR9zwWQAOk6CoO,Ransom,Lil Tecca,We Love You Tecca,85,https://www.youtube.com/watch?v=fYJpjdVS8eo,123.046875,0.295877844,5765.659645,0.517290771,5.422225831,754715,7724561,10.23507019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rUGC1vUpkDG9CZFHMur1t,greedy,Tate McRae,greedy,85,https://www.youtube.com/watch?v=8AtiHCDGZ8c,112.3471467,0.299253881,6101.130441,0.361358047,4.578906841,915946,16418379,17.92505126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),85,https://www.youtube.com/watch?v=iKzRIweSBLA,95.703125,0.22977826,4778.684244,0.342705429,5.716589068,830823,7184362,8.647283477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),85,https://www.youtube.com/watch?v=_dK2tDK9grQ,129.1992188,0.297709554,4593.873387,0.327975661,4.17719121,1069755,9666820,9.036480316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,Closer,85,https://www.youtube.com/watch?v=KYn3k8dpRJI,95.703125,0.19250679,6053.573289,0.361411542,2.552109554,1018627,8289122,8.137543968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,Love Somebody,85,https://www.youtube.com/watch?v=zxMo0CZZzyg,123.046875,0.31153509,4041.644562,0.34997642,4.593386142,97900,633921,6.475188968,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,SOS,85,https://www.youtube.com/watch?v=7frfkBdV0-w,103.359375,0.170355797,3823.36345,0.252817512,5.525837919,890679,14004900,15.72384664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
